IdSchoolClass;ClassAcronym;ClassName;StartDate;EndDate;StartHour;EndHour;Location;Type;Area;CoursesCount;WorkHourLoad;StudentsCount;ClassAverage;HighestGrade;LowestGrade
19;CET.ARCI.D.L.00;Técnico(a) Especialista Em Automação, Robótica E Controlo Industrial;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
20;CET.SITE.DPO.05;Técnico(a) Especialista Em Desenvolvimento De Produtos Multimédia;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
21;CET.GRSI.D.L.75;Técnico(a) Especialista Em Gestão De Redes E Sistemas Informáticos;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
22;CET.TPSI.D.L.76;Técnico(a) Especialista Em Tecnologias E Programação De Sistemas De Informação;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
23;CET.SITE.DPO.86;Técnico(a) Especialista Em Desenvolvimento De Produtos Multimédia;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
24;CET.ARCI.D.L.00;Técnico(a) Especialista Em Automação, Robótica E Controlo Industrial;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
25;CET.SITE.DPO.05;Técnico(a) Especialista Em Desenvolvimento De Produtos Multimédia;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
26;CET.GRSI.D.L.75;Técnico(a) Especialista Em Gestão De Redes E Sistemas Informáticos;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
27;CET.TPSI.D.L.76;Técnico(a) Especialista Em Tecnologias E Programação De Sistemas De Informação;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
28;CET.SITE.DPO.86;Técnico(a) Especialista Em Desenvolvimento De Produtos Multimédia;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
29;CET.ARCI.D.L.00;Técnico(a) Especialista Em Automação, Robótica E Controlo Industrial;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
30;CET.SITE.DPO.05;Técnico(a) Especialista Em Desenvolvimento De Produtos Multimédia;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
31;CET.GRSI.D.L.75;Técnico(a) Especialista Em Gestão De Redes E Sistemas Informáticos;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
32;CET.TPSI.D.L.76;Técnico(a) Especialista Em Tecnologias E Programação De Sistemas De Informação;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
33;CET.SITE.DPO.86;Técnico(a) Especialista Em Desenvolvimento De Produtos Multimédia;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
34;CET.ARCI.D.L.00;Técnico(a) Especialista Em Automação, Robótica E Controlo Industrial;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
35;CET.SITE.DPO.05;Técnico(a) Especialista Em Desenvolvimento De Produtos Multimédia;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
36;CET.GRSI.D.L.75;Técnico(a) Especialista Em Gestão De Redes E Sistemas Informáticos;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
37;CET.TPSI.D.L.76;Técnico(a) Especialista Em Tecnologias E Programação De Sistemas De Informação;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
38;TURMA-1;turma-1;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
39;TURMA-2;turma-22;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
40;TURMA-3;turma-3;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
41;TURMA-4;turma-4;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
42;TURMA-5;turma-55;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
43;TURMA-6;turma-6;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
44;ClassAcronym;ClassName;04/01/2022;04/01/2024;21:33;05:33;Location;Type;Area;;;;;;
45;ClassAcronym;ClassName;04/01/2022;04/01/2024;21:33;05:33;Location;Type;Area;;;;;;
46;ClassAcronym;ClassName;04/01/2022;04/01/2024;21:33;05:33;Location;Type;Area;;;;;;
47;TESTE;teste;04/01/2022;04/01/2024;21:33;05:33;campos[7];campos[8];campos[9];;;;;;
48;2-TESTE;segundo teste;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
49;TESTE 3;teste numero 3;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
50;TESTE-2;6546;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
51;ERWER;werwer;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
52;WERWER;novo teste;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];;;;;;
53;;;04/01/2022;04/01/2024;21:33;05:33;;;;;;;;;
54;;;04/01/2022;04/01/2024;21:33;05:33;;;;;;;;;
55;;;04/01/2022;04/01/2024;21:33;05:33;;;;;;;;;
56;;;04/01/2022;04/01/2024;21:33;05:33;;;;;;;;;
57;;;04/01/2022;04/01/2024;21:33;05:33;;;;;;;;;
58;;;04/01/2022;04/01/2024;21:33;05:33;;;;;;;;;
59;;;04/01/2022;04/01/2024;21:33;05:33;;;;;;;;;
